"조사연도","가구고유번호(MD제공용)","자산","금융자산","저축액","적립 및 예치식 저축","현거주지 전월세보증금","실물자산","부동산","거주주택","거주주택 이외 부동산","계약금 및 중도금 납입액","기타 실물자산","자동차","자동차이외 기타 실물자산","권리금","부채","금융부채","담보대출","신용대출","소비지출","주거비","의료비","교통비","통신비","세금(보완)"
2020,010000112,112000,49000,10000,10000,39000,63000,60000,0,60000,0,3000,3000,0,0,54500,16000,10000,6000,2340,180,30,400,110,491
2020,010000132,42500,25500,22500,17500,3000,17000,17000,0,17000,0,0,0,0,0,17500,11500,9500,2000,6580,1800,100,240,480,1413
2020,010000162,5712,5712,712,712,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,570,60,120,10,20,3
2020,010000182,14870,14800,4800,4800,10000,70,0,0,0,0,70,70,0,0,0,0,0,0,2200,360,240,60,60,57
2020,010000192,814,814,314,314,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,600,20,120,120,62
2020,010000212,17524,11524,11524,11524,0,6000,6000,6000,0,0,0,0,0,0,300,0,0,0,1363,138,44,36,55,46
2020,010000222,7930,2930,2930,2930,0,5000,5000,5000,0,0,0,0,0,0,8000,8000,3000,0,894,60,25,96,72,48
2020,010000232,27506,2056,2056,2056,0,25450,25000,25000,0,0,450,450,0,0,18000,18000,18000,0,2865,247,56,252,210,70
2020,010000252,2160,1630,130,130,1500,530,0,0,0,0,530,530,0,0,800,800,0,0,2089,504,700,120,180,81
2020,010000262,57615,1570,1570,1570,0,56045,56000,38000,18000,0,45,0,45,0,0,0,0,0,1444,370,80,140,96,62
2020,010000272,32425,5875,5875,5875,0,26550,24000,24000,0,0,2550,2550,0,0,0,0,0,0,4360,360,100,600,380,1450
2020,010000282,104860,360,360,360,0,104500,102000,22000,80000,0,2500,500,2000,0,74700,74700,72000,900,2041,216,10,150,300,302
2020,010000312,82680,12680,12680,12680,0,70000,69000,49000,20000,0,1000,1000,0,0,10,0,0,0,4340,360,600,600,360,84
2020,010000322,5366,366,366,366,0,5000,5000,5000,0,0,0,0,0,0,1500,1500,0,400,2740,240,780,240,240,48
2020,010000332,21035,20135,3635,3635,16500,900,0,0,0,0,900,900,0,0,13000,13000,0,13000,2280,300,50,300,180,372
2020,010000342,20050,20050,16050,16050,4000,0,0,0,0,0,0,0,0,0,200,200,200,0,1800,200,50,50,180,285
2020,010000352,25700,3700,3700,3700,0,22000,22000,22000,0,0,0,0,0,0,0,0,0,0,1260,180,20,60,60,28
2020,010000362,4900,3400,3400,1900,0,1500,0,0,0,0,1500,0,1500,0,0,0,0,0,1680,0,700,120,120,620
2020,010000372,14760,1810,810,810,1000,12950,12000,0,0,12000,950,950,0,0,12000,12000,0,12000,4190,900,500,600,350,165
2020,010001102,5252,5252,252,252,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,588,50,2,16,60,9
2020,010600141,21848,1748,1748,1748,0,20100,20000,20000,0,0,100,100,0,0,5200,5200,2700,2500,2080,100,100,130,200,55
2020,010600211,90,50,50,50,0,40,0,0,0,0,40,0,40,0,0,0,0,0,1418,120,250,120,108,1
2020,010600221,11360,1690,1690,1690,0,9670,7500,7500,0,0,2170,2170,0,0,1300,1300,0,0,2160,180,60,360,240,64
